Lake,Date,Collector,Depth,Device,Measurement,Value,Units,Comment,Flag,QC
Budd,1/13/21,Elizabeth Swanner,7.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,7.772,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,8.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,8.772,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,9.272,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,9.772,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,10.272,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,10.772,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,0,YSI ProDSS,Temperature,0.7,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,0.772,YSI ProDSS,Temperature,1.7,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,1.272,YSI ProDSS,Temperature,3.1,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,1.772,YSI ProDSS,Temperature,3.4,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,2.272,YSI ProDSS,Temperature,3.6,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,2.772,YSI ProDSS,Temperature,3.8,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,3.272,YSI ProDSS,Temperature,3.9,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,3.772,YSI ProDSS,Temperature,3.9,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,4.272,YSI ProDSS,Temperature,4,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,4.772,YSI ProDSS,Temperature,4,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,5.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,5.772,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,6.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,6.772,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,7.272,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,7.772,YSI ProDSS,Temperature,4.3,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,8.272,YSI ProDSS,Temperature,4.3,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,8.772,YSI ProDSS,Temperature,4.3,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,9.272,YSI ProDSS,Temperature,4.4,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,9.772,YSI ProDSS,Temperature,4.5,degreesCelsius,,,0.1
Arco,1/13/21,Elizabeth Swanner,10.272,YSI ProDSS,Temperature,4.6,degreesCelsius,,,0.1
Arco,5/13/21,Elizabeth Swanner,0.5,YSI 85,Temperature,13.5,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,1,YSI 85,Temperature,13.2,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,1.5,YSI 85,Temperature,13.1,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,2,YSI 85,Temperature,12.9,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,2.5,YSI 85,Temperature,12,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,3,YSI 85,Temperature,10.6,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,3.5,YSI 85,Temperature,9.5,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,4,YSI 85,Temperature,8.3,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,4.5,YSI 85,Temperature,7.4,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,5,YSI 85,Temperature,6.9,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,5.5,YSI 85,Temperature,6.3,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,6,YSI 85,Temperature,5.9,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,6.5,YSI 85,Temperature,5.6,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,7,YSI 85,Temperature,5.3,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,7.5,YSI 85,Temperature,4.9,degreesCelsius,,,
Arco,5/13/21,Elizabeth Swanner,8,YSI 85,Temperature,5,degreesCelsius,,,
